,pid,pidname,pidtime,cpu%,menmory%,menmorySize,pid,pidname,pidtime,cpu%,menmory%,menmorySize,pid,pidname,pidtime,cpu%,menmory%,menmorySize,pid,pidname,pidtime,cpu%,menmory%,menmorySize
12,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:01:52,2.8,2.2137522694662035,77.68359375,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:01:52,0.0,1.4825138394303263,52.0234375,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:01:52,6.0,3.913556018385041,137.33203125,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:01,11.0,3.5904040680000002,125.9921875
13,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:00,4.5,2.213863586018196,77.6875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:00,0.0,1.4830704221902868,52.04296875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:00,3.0,3.9222387094404234,137.63671875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,16.8,3.593520931,126.1015625
14,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:05,3.6,2.213863586018196,77.6875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:05,0.0,1.4827364725343106,52.03125,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:05,3.2,3.9222387094404234,137.63671875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,11.1,3.593298298,126.09375
15,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:13,2.9,2.2139749025701883,77.69140625,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:13,0.0,1.4828477890863023,52.03515625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:13,5.3,3.9222387094404234,137.63671875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,17.0,3.6052091689999997,126.51171880000001
16,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:18,3.2,2.21408621912218,77.6953125,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:18,0.0,1.4831817387422792,52.046875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:18,3.9,3.7899946456738483,132.99609375,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,12.7,3.6047639030000003,126.49609380000001
17,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:25,4.8,2.2129730536022594,77.65625,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:25,0.0,1.4828477890863023,52.03515625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:25,4.8,3.818157733327842,133.984375,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,19.0,3.607212867,126.58203130000001
18,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:29,3.9,2.2137522694662035,77.68359375,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:29,0.0,1.4827364725343106,52.03125,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:29,5.0,3.8345212664706754,134.55859375,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,11.1,3.6071015510000004,126.578125
19,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:37,3.3,2.2157559674020613,77.75390625,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:37,0.0,1.4832930552942711,52.05078125,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:37,2.4,3.8584543251489696,135.3984375,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,14.8,3.6071015510000004,126.578125
20,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:41,3.9,2.218984147409831,77.8671875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:41,0.0,1.4829591056382947,52.0390625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:41,6.4,3.8645767355085328,135.61328125,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,12.9,3.606767601,126.56640630000001
21,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:49,4.0,2.218984147409831,77.8671875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:49,0.0,1.4830704221902868,52.04296875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:49,2.2,3.8800497362354314,136.15625,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,14.9,3.605765752,126.53125
22,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:02:53,4.0,2.218984147409831,77.8671875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:02:53,0.0,1.4830704221902868,52.04296875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:02:53,5.0,3.8883984776348353,136.44921875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:02,12.2,3.605877069,126.53515630000001
23,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:00,4.3,2.219540730169791,77.88671875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:00,0.0,1.483738321502239,52.06640625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:00,5.1,3.9011998811139215,136.8984375,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,17.0,3.61066368,126.703125
24,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:05,3.6,2.2196520467217837,77.890625,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:05,0.0,1.483404371846263,52.0546875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:05,0.0,3.904539377673685,137.015625,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,13.2,3.610329731,126.69140630000001
25,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:13,3.5,2.219874679825767,77.8984375,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:13,0.0,1.483404371846263,52.0546875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:13,4.3,3.926691371520105,137.79296875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,17.3,3.6114428960000002,126.73046880000001
26,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:17,2.5,2.219874679825767,77.8984375,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:17,0.0,1.4836270049502471,52.0625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:17,1.8,3.9310327170477963,137.9453125,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,11.8,3.61133158,126.7265625
27,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:24,2.2,2.22165574465764,77.9609375,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:24,0.0,1.4836270049502471,52.0625,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:24,4.0,3.9310327170477963,137.9453125,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,16.6,3.6840212880000003,129.2773438
28,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:29,3.9,2.22811210467318,78.1875,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:29,0.0,1.4839609546062231,52.07421875,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:29,5.7,3.930253501183852,137.91796875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,13.6,3.6123334289999995,126.76171880000001
29,216,TomTaw.eWord.AutomaticTeller.ReportTeller.exe,2020-07-03 17:03:36,4.1,2.2286686874331405,78.20703125,3092,TomTaw.eWord.AutomaticTeller.Shell.exe,2020-07-03 17:03:36,0.2,1.4907512642777394,52.3125,3240,TomTaw.eWordAutomaticTeller.VLCPlayer.exe,2020-07-03 17:03:36,2.5,3.930253501183852,137.91796875,1188,TomTaw.eWord.AutomaticTeller.exe,2020/7/3 17:03,14.3,3.612556062,126.76953130000001
